name,surname,msisdn
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Extra rows,to get past dialect sniffing,+27761234560
Name 1,Surname 1,+27761234561
Name 2,Surname 2
+27761234563
Name 4,Surname 4,+27761234564
